date,sleep_hours,steps,exercise_minutes,water_liters,calories,protein_g,stress_level,resting_heart_rate,bmi,wellness_score
2025-09-06,7.37,10859,51.0,2.97,2487,111.8,6.7,66.3,21.3,85.44
2025-09-07,6.16,5964,43.2,3.17,1896,116.5,3.3,54.3,24.2,69.58
2025-09-08,7.78,5791,53.0,2.57,1851,134.0,3.2,74.9,19.7,80.59
2025-09-09,7.95,8045,38.2,2.84,2311,73.1,5.3,79.0,21.6,75.53
2025-09-10,5.34,9457,47.6,2.98,2496,89.3,5.5,79.4,21.5,63.84
2025-09-11,5.93,7625,45.2,2.92,2164,113.7,1.5,71.5,26.2,72.73
2025-09-12,7.22,10523,57.6,2.64,1700,96.4,4.8,69.3,25.9,79.7
2025-09-13,6.82,9484,58.1,2.63,1674,67.1,5.2,78.3,24.3,70.48
2025-09-14,7.08,9452,9.6,2.59,1651,105.4,4.8,80.8,19.4,73.76
2025-09-15,6.33,8819,0.0,1.7,1531,109.5,3.6,76.9,22.6,65.48
2025-09-16,7.89,12720,62.0,2.69,2188,97.2,4.1,62.4,21.3,90.12
2025-09-17,7.8,7148,65.8,1.55,2544,100.5,4.8,70.4,26.1,74.84
2025-09-18,7.16,3192,21.6,1.86,2145,88.5,5.4,72.1,27.0,61.33
2025-09-19,8.11,11129,4.8,3.02,1400,132.0,6.4,56.3,26.7,80.49
2025-09-20,7.52,6593,44.0,2.76,2083,72.5,7.4,72.3,21.2,72.85
2025-09-21,6.33,7837,60.6,3.12,2093,80.3,4.6,84.9,17.0,68.13
2025-09-22,7.43,10481,78.0,2.15,2884,95.3,4.3,73.5,18.2,84.65
2025-09-23,6.24,4075,52.3,1.67,1640,117.0,6.1,79.3,27.8,58.93
2025-09-24,7.89,4846,34.6,2.17,2013,57.6,6.4,70.3,22.3,73.07
2025-09-25,7.06,4077,24.1,2.36,2747,62.2,4.3,68.5,21.2,77.84
2025-09-26,6.93,5852,42.2,2.34,2307,44.1,6.8,71.7,28.4,64.45
2025-09-27,6.49,8567,36.0,2.92,2347,95.8,7.2,63.3,27.3,73.41
2025-09-28,8.2,8753,21.7,2.1,2190,67.0,7.8,62.3,23.6,77.41
2025-09-29,6.96,8207,83.0,2.49,2265,85.4,8.8,77.9,22.6,66.23
2025-09-30,6.71,4491,77.7,1.76,2422,111.5,3.5,78.6,23.1,65.16
2025-10-01,6.78,2517,64.7,2.55,1867,79.0,5.2,62.1,24.2,67.2
2025-10-02,7.58,7719,23.6,2.3,2457,100.8,5.2,75.8,28.3,72.35
2025-10-03,7.43,6562,59.1,1.89,1669,87.5,5.0,68.4,24.8,72.09
2025-10-04,7.47,8610,54.8,2.17,2265,111.8,3.9,71.4,25.7,77.73
2025-10-05,7.49,9144,50.9,2.2,2213,106.9,2.2,72.2,27.0,82.06
2025-10-06,9.03,7904,67.0,2.15,1934,77.7,5.4,76.0,20.0,73.31
2025-10-07,6.73,9272,54.7,3.27,2142,90.8,3.7,69.6,25.8,77.42
2025-10-08,6.64,8104,56.8,2.25,1932,121.1,5.4,78.9,22.6,68.32
2025-10-09,6.37,8766,54.7,2.17,1775,104.8,3.6,71.2,17.0,75.13
2025-10-10,7.65,6049,48.8,1.15,2026,60.1,3.0,73.4,17.1,70.41
2025-10-11,8.12,7204,6.3,1.81,1764,111.4,5.7,63.2,20.4,71.18
2025-10-12,7.0,8032,43.7,2.16,2263,67.9,5.5,84.1,25.1,64.38
2025-10-13,6.34,9405,30.9,1.92,1747,130.3,6.4,72.3,23.8,69.18
2025-10-14,6.36,6733,16.4,3.06,2399,120.6,9.6,74.0,24.1,66.32
2025-10-15,7.69,8746,75.6,2.21,1736,102.2,5.8,57.7,29.4,81.24
2025-10-16,7.77,7015,76.6,3.01,1952,98.9,6.2,63.2,19.7,82.72
2025-10-17,7.59,7341,69.2,2.33,1931,89.8,3.0,77.7,23.4,78.27
2025-10-18,6.5,9424,47.1,2.32,2614,112.0,2.6,71.0,24.4,76.39
2025-10-19,7.31,3215,69.0,2.25,2266,85.7,8.4,55.6,21.3,66.14
2025-10-20,7.21,4747,42.2,2.3,2076,100.9,3.4,76.3,23.6,69.23
2025-10-21,7.3,4339,46.1,3.25,2325,116.8,3.1,65.2,18.7,77.42
2025-10-22,7.88,2466,20.1,1.02,1412,81.0,5.1,78.9,27.7,57.64
2025-10-23,7.3,6107,49.9,1.2,2135,79.6,5.0,68.4,21.5,63.7
2025-10-24,7.71,9248,43.2,2.0,2849,65.1,3.4,70.4,29.6,73.78
2025-10-25,7.16,6973,15.9,2.31,2196,68.4,4.6,77.3,23.4,68.68
2025-10-26,7.36,8035,41.0,2.68,2174,49.3,7.7,62.7,26.6,72.08
2025-10-27,7.67,9996,40.4,2.56,2342,113.2,3.6,62.1,23.3,85.58
2025-10-28,5.79,10520,78.0,2.09,2463,140.2,2.4,67.6,23.4,77.95
2025-10-29,6.81,7447,59.9,2.86,1451,130.6,7.1,74.8,21.7,69.61
2025-10-30,6.68,10577,42.2,2.87,1561,54.3,6.2,59.7,23.9,72.59
2025-10-31,6.53,7802,47.0,2.4,2224,113.1,4.0,57.3,24.5,74.87
2025-11-01,6.85,5757,42.9,2.83,1900,130.6,2.0,74.8,21.1,77.79
2025-11-02,8.45,6292,37.9,2.45,2609,83.6,3.7,64.8,23.1,82.78
2025-11-03,6.32,4342,20.4,1.99,2040,97.5,5.1,66.3,21.7,67.6
2025-11-04,7.97,5646,39.0,2.68,1473,44.8,7.5,56.0,30.4,65.5
2025-11-05,5.59,6812,27.1,2.36,1706,101.7,3.1,64.2,23.2,68.6
2025-11-06,6.8,9367,17.0,2.3,1400,68.4,5.0,68.9,28.1,70.78
2025-11-07,7.25,11385,52.2,3.11,2068,100.0,6.6,75.5,22.9,78.19
2025-11-08,7.63,4559,49.8,0.95,2084,56.0,1.0,63.6,24.3,73.78
2025-11-09,7.74,8464,6.3,1.52,2001,108.6,7.3,80.6,19.5,64.06
2025-11-10,7.81,5310,39.5,1.65,2528,120.6,2.8,64.2,22.2,78.03
2025-11-11,6.79,8644,61.9,2.1,2569,75.4,5.9,64.2,24.1,74.95
2025-11-12,6.68,7311,63.2,2.16,2090,66.6,5.7,79.8,28.3,65.79
2025-11-13,7.87,3572,62.5,1.47,1403,41.1,7.4,70.5,24.2,61.51
2025-11-14,6.93,9642,42.8,1.76,2366,88.3,6.3,65.1,27.7,70.13
2025-11-15,5.95,6268,25.1,1.83,2344,80.5,1.0,67.9,25.4,59.08
2025-11-16,6.08,6425,20.3,3.65,2258,56.2,3.6,78.5,28.4,60.86
2025-11-17,6.27,5246,48.9,3.29,2494,106.3,5.5,79.3,23.3,64.3
2025-11-18,7.55,6160,49.6,2.07,1742,83.8,4.8,63.3,30.7,68.54
2025-11-19,7.23,8541,67.7,2.1,2853,68.1,6.2,68.7,22.0,75.38
2025-11-20,7.72,7183,64.0,1.67,1814,81.1,6.8,69.6,21.2,72.72
2025-11-21,6.72,8323,39.4,1.25,2412,121.8,6.4,62.1,19.9,63.91
